KHOI,CAP0,PRODUCT_CODE,CAP1,CAP2,CAP3,CAP4,CAP1_VN,CAP2_VN,CAP3_VN,CAP4_VN,TRANSACTION_DATE,SPKHCN,KHOI_CAP1,SP_KHCN
INDIV,HDV&TT,11131,TKTT,TAI KHOAN THANH TOAN,TAI KHOAN THANH TOAN,TAI KHOAN MB VIP,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản thanh toán,Tài khoản MB VIP,2022-03-09 00:00:00.0000000,TKTT,INDIV,TKTT
TCKT,,21113,CHO VAY,,,,Cho vay,SXKD,CV SXKD không quay vòng,Cho vay bo sung VLD theo mon trung dai han,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,21113,CV SXKD,CHO VAY SAN XUAT KINH DOANH THONG THUONG CO TSDB,CHO VAY BO SUNG VON LUU DONG ,CHO VAY BO SUNG VLD THEO MON TRUNG DAI HAN,Cho vay sản xuất kinh doanh,Cho vay sản xuất kinh doanh thông thường có TSĐB,Cho vay bổ sung vốn lưu động ,Cho vay bổ sung VLĐ theo món trung dài hạn,2022-03-09 00:00:00.0000000,CV SXKD,INDIV,CV SXKD
TCKT,,22111,CHO VAY,,,,Cho vay,CV Ô tô,CV Ô tô,Cho vay Ô tô tiêu dùng,2023-07-26 00:00:00.0000000,,,
NHS,HDV&TT,12127,TKTK/TGCKH,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TAI KHOAN TIET KIEM/TIEN GUI CO KY HAN,TIEN GUI HEO DAT SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi heo đất SP SO,2022-03-09 00:00:00.0000000,TKTK/TGCKH,NHS,TKTK/TGCKH
TCKT,,12127,HUY DONG,,,,Huy động,Huy động có kỳ hạn,Huy động có kỳ hạn,Tiet kiem heo dat- SP SO,2023-07-26 00:00:00.0000000,,,
INDIV,DU NO,22111,CV O TO,CHO VAY O TO THONG THUONG,CHO VAY MUA O TO MUC DICH TIEU DUNG,CHO VAY MUA O TO MUC DICH TIEU DUNG,Cho vay mua ô tô,Cho vay Ô tô thông thường,Cho vay mua ô tô mục đích tiêu dùng,Cho vay mua ô tô mục đích tiêu dùng,2022-03-09 00:00:00.0000000,CV OTO,INDIV,CV OTO
TOAN_HANG,,12127,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi heo đất SP SO,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tài khoản tiết kiệm/tiền gửi có kỳ hạn,Tiền gửi heo đất SP SO,2021-01-01 00:00:00.0000000,,,
INDIV,HDV&TT,14111,TAI KHOAN THE TRA TRUOC,THE TRA TRUOC DANH CHO KHCN,THE TRA TRUOC NOI DIA DANH CHO KHCN,TK THE NEWPLUS,Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,TK thẻ NewPlus,2022-03-09 00:00:00.0000000,,INDIV,
TOAN_HANG,,14111,Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,TK thẻ NewPlus,Tài khoản thẻ trả trước,Thẻ trả trước dành cho KHCN,Thẻ trả trước nội địa dành cho KHCN,TK thẻ NewPlus,2021-01-01 00:00:00.0000000,,,
